"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"CR2032_Holder_Linx";1;"CR2032";;;
2;"C1";"C_0805_2012Metric";1;"10u";;;
3;"C2,C3,C4,C6,C7,C10,C11,C12,C13,C14,C15,C20,C21,C30,C31";"C_0603_1608Metric";15;"100n";;;
4;"C5,C8";"C_0805_2012Metric";2;"1u";;;
5;"D1";"LED_0805_2012Metric";1;"RED";;;
6;"D2";"LED_0805_2012Metric";1;"YEL";;;
7;"D3";"LED_0805_2012Metric";1;"GRN";;;
8;"J1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"BAT";;;
9;"J2";"Conn_1-wire";1;"UPDI_PIN_SMD";;;
10;"J18";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"UART";;;
11;"J20,JP20,JP21";"Pin_Header_Straight_1x03_Pitch2.54mm";3;"UPDI";;;
12;"JD1";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"I2C display";;;
13;"JP30,JP32";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"SCL";;;
14;"JP31,JP33";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"SDA";;;
15;"JST_PH_BAT1";"JST_PH_S2B-PH-K_02x2.00mm_Angled_WiderHole";1;"JST_PH_BAT";;;
16;"Q30,Q31";"SOT-23_HS";2;"NMOS_GSD";;;
17;"R1,R2,R3";"0805_HS";3;"1k";;;
18;"R4,R20";"R_0603_1608Metric";2;"3.3k";;;
19;"R5,R6,R7,R30,R31,R32,R33";"R_0603_1608Metric";7;"10k";;;
20;"SW1";"SW_SPST_PUSH_6mm_3mm";1;"BTN";;;
21;"U1";"SOT-23-5_HS";1;"AP7354";;;
22;"U2";"SOIC-14_3.9x8.7mm_Pitch1.27mm_HS";1;"attiny1614";;;
23;"U5";"SOT-23-5_HS";1;"AP2280";;;
24;"U10";"SOIC-14_3.9x8.7mm_Pitch1.27mm_HS";1;"TXB0104";;;
25;"U11,U12";"SOT-23-6_HS";2;"74LVC1T45-SOT23-6";;;
26;"U20";"SOT-23-6_HS";1;"PI4ULS5V201-SOT23-6";;;
27;"U30";"SOIC-8_3.9x4.9mm_Pitch1.27mm_HS";1;"NLSX4373";;;
28;"J10,J14";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"JP_RX";;;
29;"J11,J15";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"JP_TX";;;
30;"JP1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"jumper";;;
31;"JP2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"ADC";;;
32;"R8,R9";"R_0603_1608Metric";2;"100k";;;
33;"U6";"SOT-23-6_HS";1;"74LVC1G3157";;;
